"60,000 ms (1 minute) / Tempo (BPM) = Delay Time in ms for quarter-note beats",,,,,
"The time in years is equal to the seconds divided by 31,556,952",,,,,
"60,000 ms (1 minute) / Tempo (BPM) = Delay Time in ms for quarter-note beats",,,,,
"The time in years is equal to the seconds divided by 31,556,952",,,,,
,,,,,
"Melody Count","Note Count","BPM","Note Length","Melody Length","Total Length"
,"1/4 notes",,"milliseconds","seconds","years"
"68,719,476,735",12.00,120,500.00,6.00,"13,065.80"
"68,719,476,736",12.00,140,428.57,5.14,"11,199.26"
"68,719,476,737",12.00,160,375.00,4.50,"9,799.35"
"68,719,476,738",12.00,180,333.33,4.00,"8,710.53"
"68,719,476,739",12.00,200,300.00,3.60,"7,839.48"
"68,719,476,740",12.00,220,272.73,3.27,"7,126.80"
"68,719,476,741",12.00,240,250.00,3.00,"6,532.90"
"68,719,476,742",12.00,260,230.77,2.77,"6,030.37"
"68,719,476,743",12.00,280,214.29,2.57,"5,599.63"
"68,719,476,744",12.00,300,200.00,2.40,"5,226.32"
"68,719,476,745",12.00,320,187.50,2.25,"4,899.68"
"68,719,476,746",12.00,340,176.47,2.12,"4,611.46"
"68,719,476,747",12.00,360,166.67,2.00,"4,355.27"
"68,719,476,748",12.00,380,157.89,1.89,"4,126.04"
"68,719,476,749",12.00,400,150.00,1.80,"3,919.74"
"68,719,476,750",12.00,420,142.86,1.71,"3,733.09"
"68,719,476,751",12.00,440,136.36,1.64,"3,563.40"
"68,719,476,752",12.00,460,130.43,1.57,"3,408.47"
"68,719,476,753",12.00,480,125.00,1.50,"3,266.45"
"68,719,476,754",12.00,500,120.00,1.44,"3,135.79"
"68,719,476,755",12.00,520,115.38,1.38,"3,015.18"
"68,719,476,756",12.00,540,111.11,1.33,"2,903.51"
"68,719,476,757",12.00,560,107.14,1.29,"2,799.81"
"68,719,476,758",12.00,580,103.45,1.24,"2,703.27"
"68,719,476,759",12.00,600,100.00,1.20,"2,613.16"
"68,719,476,760",12.00,620,96.77,1.16,"2,528.86"
"68,719,476,761",12.00,640,93.75,1.13,"2,449.84"
"68,719,476,762",12.00,660,90.91,1.09,"2,375.60"
"68,719,476,763",12.00,680,88.24,1.06,"2,305.73"
"68,719,476,764",12.00,700,85.71,1.03,"2,239.85"
"68,719,476,765",12.00,720,83.33,1.00,"2,177.63"
"68,719,476,766",12.00,740,81.08,0.97,"2,118.78"
"68,719,476,767",12.00,760,78.95,0.95,"2,063.02"
"68,719,476,768",12.00,780,76.92,0.92,"2,010.12"
"68,719,476,769",12.00,800,75.00,0.90,"1,959.87"
"68,719,476,770",12.00,820,73.17,0.88,"1,912.07"
"68,719,476,771",12.00,840,71.43,0.86,"1,866.54"
"68,719,476,772",12.00,860,69.77,0.84,"1,823.14"
"68,719,476,773",12.00,880,68.18,0.82,"1,781.70"
"68,719,476,774",12.00,900,66.67,0.80,"1,742.11"
"68,719,476,775",12.00,920,65.22,0.78,"1,704.23"
"68,719,476,776",12.00,940,63.83,0.77,"1,667.97"
"68,719,476,777",12.00,960,62.50,0.75,"1,633.23"
"68,719,476,778",12.00,980,61.22,0.73,"1,599.89"
"68,719,476,779",12.00,1000,60.00,0.72,"1,567.90"
"68,719,476,780",12.00,1020,58.82,0.71,"1,537.15"
"68,719,476,781",12.00,1040,57.69,0.69,"1,507.59"
"68,719,476,782",12.00,1060,56.60,0.68,"1,479.15"
"68,719,476,783",12.00,1080,55.56,0.67,"1,451.76"
"68,719,476,784",12.00,1100,54.55,0.65,"1,425.36"
"68,719,476,785",12.00,1120,53.57,0.64,"1,399.91"
"68,719,476,786",12.00,1140,52.63,0.63,"1,375.35"
"68,719,476,787",12.00,1160,51.72,0.62,"1,351.63"
"68,719,476,788",12.00,1180,50.85,0.61,"1,328.73"
"68,719,476,789",12.00,1200,50.00,0.60,"1,306.58"
"68,719,476,790",12.00,1220,49.18,0.59,"1,285.16"
"68,719,476,791",12.00,1240,48.39,0.58,"1,264.43"
"68,719,476,792",12.00,1260,47.62,0.57,"1,244.36"
"68,719,476,793",12.00,1280,46.88,0.56,"1,224.92"
"68,719,476,794",12.00,1300,46.15,0.55,"1,206.07"
"68,719,476,795",12.00,1320,45.45,0.55,"1,187.80"
"68,719,476,796",12.00,1340,44.78,0.54,"1,170.07"
"68,719,476,797",12.00,1360,44.12,0.53,"1,152.86"
"68,719,476,798",12.00,1380,43.48,0.52,"1,136.16"
"68,719,476,799",12.00,1400,42.86,0.51,"1,119.93"
"68,719,476,800",12.00,1420,42.25,0.51,"1,104.15"
"68,719,476,801",12.00,1440,41.67,0.50,"1,088.82"
"68,719,476,802",12.00,1460,41.10,0.49,"1,073.90"
"68,719,476,803",12.00,1480,40.54,0.49,"1,059.39"
"68,719,476,804",12.00,1500,40.00,0.48,"1,045.26"
"68,719,476,805",12.00,1520,39.47,0.47,"1,031.51"
"68,719,476,806",12.00,1540,38.96,0.47,"1,018.11"
"68,719,476,807",12.00,1560,38.46,0.46,"1,005.06"
"68,719,476,808",12.00,1580,37.97,0.46,992.34
"68,719,476,809",12.00,1600,37.50,0.45,979.94
"68,719,476,810",12.00,1620,37.04,0.44,967.84
"68,719,476,811",12.00,1640,36.59,0.44,956.03
"68,719,476,812",12.00,1660,36.14,0.43,944.52
"68,719,476,813",12.00,1680,35.71,0.43,933.27
"68,719,476,814",12.00,1700,35.29,0.42,922.29
"68,719,476,815",12.00,1720,34.88,0.42,911.57
"68,719,476,816",12.00,1740,34.48,0.41,901.09
"68,719,476,817",12.00,1760,34.09,0.41,890.85
"68,719,476,818",12.00,1780,33.71,0.40,880.84
"68,719,476,819",12.00,1800,33.33,0.40,871.05
"68,719,476,820",12.00,1820,32.97,0.40,861.48
"68,719,476,821",12.00,1840,32.61,0.39,852.12
"68,719,476,822",12.00,1860,32.26,0.39,842.95
"68,719,476,823",12.00,1880,31.91,0.38,833.99
"68,719,476,824",12.00,1900,31.58,0.38,825.21
"68,719,476,825",12.00,1920,31.25,0.38,816.61
"68,719,476,826",12.00,1940,30.93,0.37,808.19
"68,719,476,827",12.00,1960,30.61,0.37,799.95
"68,719,476,828",12.00,1980,30.30,0.36,791.87
"68,719,476,829",12.00,2000,30.00,0.36,783.95
"68,719,476,830",12.00,2020,29.70,0.36,776.19
"68,719,476,831",12.00,2040,29.41,0.35,768.58
"68,719,476,832",12.00,2060,29.13,0.35,761.11
"68,719,476,833",12.00,2080,28.85,0.35,753.80
"68,719,476,834",12.00,2100,28.57,0.34,746.62
